<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20191106,000000,238.4200000,239.0200000,236.5200000,239.0200000,33383900
SBER,D,20191107,000000,238.1100000,242.9500000,237.7100000,242.5000000,44637570
SBER,D,20191108,000000,241.4200000,241.6800000,238.7000000,240.1700000,30473030
SBER,D,20191111,000000,239.0200000,242.4000000,238.3100000,241.5000000,27111060
SBER,D,20191112,000000,241.8000000,243.7400000,239.5000000,239.8700000,35513320
SBER,D,20191113,000000,239.0600000,239.5700000,235.8100000,237.2100000,31373320
SBER,D,20191114,000000,237.6200000,239.1300000,236.8200000,237.5000000,34316400
SBER,D,20191115,000000,237.8500000,240.1800000,236.4500000,240.0000000,30652680
SBER,D,20191118,000000,240.5900000,241.2300000,236.3600000,237.4500000,32941310
SBER,D,20191119,000000,237.5200000,239.8200000,237.2000000,239.2500000,29128910
SBER,D,20191120,000000,238.6000000,240.2000000,237.1000000,237.7800000,28091490
SBER,D,20191121,000000,237.3700000,238.0000000,235.8000000,237.1500000,24612470
SBER,D,20191122,000000,236.5800000,240.1900000,236.5300000,238.1300000,33565030
SBER,D,20191125,000000,238.6800000,239.7500000,237.2100000,237.9800000,17536530
SBER,D,20191126,000000,238.0100000,238.1000000,234.3500000,235.0000000,58327470
SBER,D,20191127,000000,235.2500000,236.4500000,233.5100000,234.2200000,21871060
SBER,D,20191128,000000,234.1000000,235.5000000,233.1000000,235.2000000,18849720
SBER,D,20191129,000000,234.6500000,235.1400000,231.9700000,233.9800000,27230330
SBER,D,20191202,000000,234.5900000,236.3700000,233.0000000,233.7700000,28186930
SBER,D,20191203,000000,233.2800000,234.0600000,230.1300000,230.6600000,26676820
SBER,D,20191204,000000,230.7200000,232.2400000,229.5000000,231.5900000,24285490
SBER,D,20191205,000000,231.8900000,232.1500000,229.0300000,231.7100000,23157550
SBER,D,20191206,000000,232.0000000,235.1400000,231.5500000,235.1400000,33265080
SBER,D,20191209,000000,235.4600000,237.5000000,234.3000000,237.0400000,31683450
SBER,D,20191210,000000,236.6000000,239.2900000,236.0000000,237.9100000,36059810
SBER,D,20191211,000000,237.8100000,241.2300000,237.7000000,240.3200000,44152540
SBER,D,20191212,000000,242.0100000,242.3000000,240.0900000,241.0500000,36011490
SBER,D,20191213,000000,242.0200000,243.2500000,241.1000000,241.2100000,33100880
SBER,D,20191216,000000,242.0200000,242.4800000,240.1300000,241.4500000,25489190
SBER,D,20191217,000000,241.8200000,242.9600000,241.0000000,241.6000000,33821980
SBER,D,20191218,000000,241.2100000,246.2500000,240.3600000,246.2000000,55754300
SBER,D,20191219,000000,246.2700000,248.4000000,243.1000000,244.0000000,59872840
SBER,D,20191220,000000,244.6000000,245.4000000,243.7200000,244.7100000,32926290
SBER,D,20191223,000000,244.7500000,249.1900000,244.0700000,248.8000000,23950490
SBER,D,20191224,000000,248.8000000,249.8900000,247.2700000,248.6700000,21016800
SBER,D,20191225,000000,248.9800000,249.3000000,247.1100000,248.0400000,7910360
SBER,D,20191226,000000,248.2000000,249.2400000,246.7100000,248.2400000,12979620
SBER,D,20191227,000000,248.5600000,252.9500000,248.5500000,252.0600000,31907600
SBER,D,20191230,000000,252.0900000,256.0000000,250.7300000,254.7500000,43131930
